大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0002	國立清華大學	460101	數學系	D 日	D 博士	19	0	0	18 新竹市	1 一般
0002	國立清華大學	460101	數學系	D 日	M 碩士	59	0	16	18 新竹市	1 一般
0002	國立清華大學	460101	數學系	D 日	B 學士	243	22	53	18 新竹市	1 一般
0002	國立清華大學	460201	統計(科學)(資訊)學系	D 日	D 博士	10	0	2	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	D 博士	72	0	10	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	M 碩士	353	0	152	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	B 學士	565	43	117	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	D 博士	111	0	14	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	M 碩士	154	0	69	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	B 學士	228	23	57	18 新竹市	1 一般
0003	國立臺灣大學	210501	戲劇學系	D 日	B 學士	187	12	22	30 臺北市	1 一般
0003	國立臺灣大學	310201	政治學系	D 日	B 學士	761	24	187	30 臺北市	1 一般
0003	國立臺灣大學	380101	法律學系	D 日	B 學士	806	37	185	30 臺北市	1 一般
0003	國立臺灣大學	420107	昆蟲學系	D 日	B 學士	118	10	23	30 臺北市	1 一般
0003	國立臺灣大學	440101	化學系	D 日	B 學士	295	33	76	30 臺北市	1 一般
0003	國立臺灣大學	440301	物理學系	D 日	B 學士	282	34	68	30 臺北市	1 一般
0003	國立臺灣大學	460101	數學系	D 日	B 學士	215	24	56	30 臺北市	1 一般
0003	國立臺灣大學	520114	資訊工程學系	D 日	B 學士	520	30	104	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	D 日	B 學士	456	52	96	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	N 職	M 碩士	48	0	16	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	D 博士	35	0	7	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	M 碩士	72	0	30	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	B 學士	207	24	39	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	D 博士	76	0	21	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	M 碩士	202	0	83	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	B 學士	488	34	108	30 臺北市	1 一般
0003	國立臺灣大學	621002	森林環境暨資源學系	D 日	B 學士	276	23	67	30 臺北市	1 一般
0003	國立臺灣大學	621101	漁業科學研究所	D 日	D 博士	11	0	2	30 臺北市	1 一般
0003	國立臺灣大學	621101	漁業科學研究所	D 日	M 碩士	39	7	11	30 臺北市	1 一般
0003	國立臺灣大學	640101	獸醫學系	D 日	D 博士	34	0	5	30 臺北市	1 一般
0003	國立臺灣大學	640101	獸醫學系	D 日	M 碩士	36	0	9	30 臺北市	1 一般
0003	國立臺灣大學	640101	獸醫學系	D 日	B 學士	329	18	55	30 臺北市	1 一般
0003	國立臺灣大學	640107	臨床動物醫學研究所	D 日	M 碩士	28	11	9	30 臺北市	1 一般
0003	國立臺灣大學	640109	分子暨比較病理生物學研究所	D 日	M 碩士	18	7	1	30 臺北市	1 一般
0003	國立臺灣大學	720101	醫學系	D 日	B 學士	978	155	126	30 臺北市	1 一般
0003	國立臺灣大學	720401	物理治療系	D 日	B 學士	160	17	30	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	D 博士	19	0	2	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	M 碩士	22	0	9	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	B 學士	138	11	34	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	D 博士	44	0	6	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	M 碩士	80	0	15	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	B 學士	157	22	21	30 臺北市	1 一般
0004	國立臺灣師範大學	220308	英語學系	D 日	B 學士	329	51	74	30 臺北市	3 師範
0004	國立臺灣師範大學	220308	英語學系	N 職	M 碩士	49	0	7	30 臺北市	3 師範
0004	國立臺灣師範大學	220501	翻譯學系	D 日	D 博士	34	0	2	30 臺北市	3 師範
0004	國立臺灣師範大學	220501	翻譯學系	D 日	M 碩士	69	7	18	30 臺北市	3 師範
0004	國立臺灣師範大學	420103	生命科學系	D 日	D 博士	47	0	12	30 臺北市	3 師範
0004	國立臺灣師範大學	420103	生命科學系	D 日	M 碩士	94	0	34	30 臺北市	3 師範
0004	國立臺灣師範大學	420103	生命科學系	D 日	B 學士	244	30	57	30 臺北市	3 師範
0004	國立臺灣師範大學	440101	化學系	D 日	B 學士	319	25	80	30 臺北市	3 師範
0004	國立臺灣師範大學	440301	物理學系	D 日	B 學士	283	29	70	30 臺北市	3 師範
0004	國立臺灣師範大學	460101	數學系	D 日	D 博士	21	0	0	30 臺北市	3 師範
0004	國立臺灣師範大學	460101	數學系	D 日	M 碩士	69	0	19	30 臺北市	3 師範
0004	國立臺灣師範大學	460101	數學系	D 日	B 學士	385	34	74	30 臺北市	3 師範
0004	國立臺灣師範大學	520114	資訊工程學系	D 日	B 學士	193	16	40	30 臺北市	3 師範
0005	國立成功大學	380101	法律學系	D 日	B 學士	295	21	62	21 臺南市	1 一般
0005	國立成功大學	420103	生命科學系	D 日	D 博士	24	0	3	21 臺南市	1 一般
0005	國立成功大學	420103	生命科學系	D 日	M 碩士	62	0	18	21 臺南市	1 一般
0005	國立成功大學	420103	生命科學系	D 日	B 學士	196	20	44	21 臺南市	1 一般
0005	國立成功大學	420114	熱帶植物科學研究所	D 日	M 碩士	19	5	4	21 臺南市	1 一般
0005	國立成功大學	440509	海洋科技與事務研究所	D 日	D 博士	13	0	4	21 臺南市	1 一般
0005	國立成功大學	440509	海洋科技與事務研究所	D 日	M 碩士	18	7	8	21 臺南市	1 一般
0005	國立成功大學	449909	自然災害減災及管理學位學程	D 日	M 碩士	21	0	7	21 臺南市	1 一般
0005	國立成功大學	460101	數學系	D 日	D 博士	14	0	0	21 臺南市	1 一般
0005	國立成功大學	460101	數學系	D 日	M 碩士	59	0	13	21 臺南市	1 一般
0005	國立成功大學	460101	數學系	D 日	B 學士	200	35	57	21 臺南市	1 一般
0005	國立成功大學	520114	資訊工程學系	D 日	B 學士	461	28	85	21 臺南市	1 一般
0005	國立成功大學	520228	系統及船舶機電工程學系	D 日	B 學士	205	17	50	21 臺南市	1 一般
0005	國立成功大學	520301	土木工程學系	D 日	D 博士	39	0	7	21 臺南市	1 一般
0005	國立成功大學	520301	土木工程學系	D 日	M 碩士	235	0	100	21 臺南市	1 一般
0005	國立成功大學	520301	土木工程學系	D 日	B 學士	456	35	116	21 臺南市	1 一般
0005	國立成功大學	520513	資源工程學系	D 日	B 學士	219	18	47	21 臺南市	1 一般
0005	國立成功大學	520524	尖端材料國際學位學程	D 日	M 碩士	28	0	11	21 臺南市	1 一般
0005	國立成功大學	520802	測量及空間資訊學系	D 日	D 博士	24	0	1	21 臺南市	1 一般
0005	國立成功大學	520802	測量及空間資訊學系	D 日	M 碩士	59	0	20	21 臺南市	1 一般
0005	國立成功大學	520802	測量及空間資訊學系	D 日	B 學士	210	15	42	21 臺南市	1 一般
0005	國立成功大學	520901	環境工程學系	D 日	D 博士	27	0	2	21 臺南市	1 一般
0005	國立成功大學	520901	環境工程學系	D 日	M 碩士	97	0	39	21 臺南市	1 一般
0005	國立成功大學	520901	環境工程學系	D 日	B 學士	224	17	64	21 臺南市	1 一般
0005	國立成功大學	720601	護理學系	D 日	B 學士	146	16	25	21 臺南市	1 一般
0006	國立中興大學	420103	生命科學系	D 日	B 學士	368	27	84	19 臺中市	1 一般
0006	國立中興大學	440101	化學系	D 日	B 學士	211	33	56	19 臺中市	1 一般
0006	國立中興大學	440301	物理學系	D 日	D 博士	13	0	0	19 臺中市	1 一般
0006	國立中興大學	440301	物理學系	D 日	M 碩士	44	0	15	19 臺中市	1 一般
0006	國立中興大學	440301	物理學系	D 日	B 學士	227	19	49	19 臺中市	1 一般
0006	國立中興大學	520119	資訊科學與工程學系	D 日	B 學士	179	18	45	19 臺中市	1 一般
0006	國立中興大學	520301	土木工程學系	D 日	B 學士	415	27	86	19 臺中市	1 一般
0006	國立中興大學	520901	環境工程學系	D 日	B 學士	211	14	52	19 臺中市	1 一般
0006	國立中興大學	620605	食品暨應用生物科技學系	D 日	B 學士	209	16	55	19 臺中市	1 一般
