大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0002	AA	460101	數學系	D 日	B 學士	243	22	53	18 新竹市	1 一般
0002	AB	520114	資訊工程學系	D 日	B 學士	565	43	117	18 新竹市	1 一般
0002	AC	520401	化學工程學系	D 日	B 學士	228	23	57	18 新竹市	1 一般
0003	BB	520401	化學工程學系	D 日	B 學士	488	34	108	30 臺北市	1 一般
0005	BC	460101	數學系	D 日	B 學士	200	35	57	21 臺南市	1 一般
0005	CC	520114	資訊工程學系	D 日	B 學士	461	28	85	21 臺南市	1 一般
0005	CA	520901	環境工程學系	D 日	B 學士	224	17	64	21 臺南市	1 一般
0005	CA	720601	護理學系	D 日	B 學士	146	16	25	21 臺南市	1 一般
0006	AD	420103	生命科學系	D 日	B 學士	368	27	84	19 臺中市	1 一般
0006	AD	440101	化學系	D 日	B 學士	211	33	56	19 臺中市	1 一般
0006	AD	440301	物理學系	D 日	B 學士	227	19	49	19 臺中市	1 一般
0007	BD	440303	電子物理學系	D 日	B 學士	236	25	59	18 新竹市	1 一般
0007	BD	520114	資訊工程學系	D 日	B 學士	788	24	187	18 新竹市	1 一般
0008	DD	220314	法國語文學系	D 日	B 學士	214	13	49	03 桃園市	1 一般
0008	DD	340301	企業管理學系	D 日	B 學士	436	20	109	03 桃園市	1 一般
0009	DA	210401	音樂學系	D 日	B 學士	162	12	30	50 高雄市	1 一般
0009	DA	220301	外國語文學系	D 日	B 學士	218	19	52	50 高雄市	1 一般
0009	DA	460102	應用數學系	D 日	B 學士	203	18	52	50 高雄市	1 一般
0012	XX	520114	資訊工程學系	D 日	B 學士	464	27	106	17 基隆市	1 一般
0012	XY	520214	輪機工程學系	D 日	B 學士	435	15	107	17 基隆市	1 一般
0012	XY	620601	食品科學系	D 日	B 學士	459	24	105	17 基隆市	1 一般
0012	XY	840302	商船學系	D 日	B 學士	496	15	114	17 基隆市	1 一般
0013	WX	420103	生命科學系	D 日	B 學士	164	15	35	10 嘉義縣	1 一般
0013	WX	520114	資訊工程學系	D 日	B 學士	385	24	90	10 嘉義縣	1 一般
0015	WZ	340301	企業管理學系	D 日	B 學士	215	12	49	07 彰化縣	3 師範
0015	WZ	460101	數學系	D 日	B 學士	324	18	70	07 彰化縣	3 師範
0017	YY	310101	經濟學系	D 日	B 學士	513	28	117	01 新北市	1 一般
0017	YY	310301	社會學系	D 日	B 學士	186	13	46	01 新北市	1 一般
0017	YY	340701	財政學系	D 日	B 學士	293	14	67	01 新北市	1 一般
0036	ZZ	220308	英語學系	D 日	B 學士	186	7	45	21 臺南市	1 一般
1001	PP	420103	生命科學系	D 日	B 學士	370	17	79	19 臺中市	1 一般
1001	PP	440101	化學系	D 日	B 學士	354	17	96	19 臺中市	1 一般
1001	PP	520114	資訊工程學系	D 日	B 學士	510	19	107	19 臺中市	1 一般
1002	QQ	220307	英國語文學系	D 日	B 學士	296	17	62	01 新北市	1 一般
1002	QQ	310101	經濟學系	D 日	B 學士	534	16	119	01 新北市	1 一般
1002	QQ	380101	法律學系	D 日	B 學士	502	19	128	01 新北市	1 一般
1002	QQ	810702	織品服裝學系	D 日	B 學士	"1,047"	24	229	01 新北市	1 一般
1003	SS	210401	音樂學系	D 日	B 學士	264	13	56	30 臺北市	1 一般
1003	SS	340301	企業管理學系	D 日	B 學士	"1,002"	26	241	30 臺北市	1 一般
1003	SS	380101	法律學系	D 日	B 學士	"1,296"	46	244	30 臺北市	1 一般
